League,Priority,Region
LCS,1.0,NORTH AMERICA
LCS Challengers,1000.0,NORTH AMERICA
LCS Challengers Qualifiers,1000.0,NORTH AMERICA
College Championship,1000.0,NORTH AMERICA
CBLOL,204.0,BRAZIL
LCK,4.0,KOREA
LCL,209.0,COMMONWEALTH OF INDEPENDENT STATES
LCO,207.0,OCEANIA
LEC,3.0,EMEA
LJL,208.0,JAPAN
LLA,206.0,LATIN AMERICA
LPL,201.0,CHINA
PCS,1000.0,"HONG KONG, MACAU, TAIWAN"
TCL,203.0,EMEA
VCS,1000.0,VIETNAM
MSI,301.0,INTERNATIONAL
Worlds,300.0,INTERNATIONAL
All-Star Event,302.0,INTERNATIONAL
EMEA Masters,1000.0,EMEA
La Ligue Fran̤aise,1000.0,EMEA
NLC,1000.0,EMEA
Elite Series,1000.0,EMEA
Liga Portuguesa,1000.0,EMEA
PG Nationals,1000.0,EMEA
Ultraliga,1000.0,EMEA
SuperLiga,1000.0,EMEA
Prime League,1000.0,EMEA
Hitpoint Masters,1000.0,EMEA
Esports Balkan League,1000.0,EMEA
Greek Legends League,1000.0,EMEA
Arabian League,1000.0,EMEA
LCK Academy,1000.0,KOREA
LJL Academy,1000.0,JAPAN
LCK Challengers,1000.0,KOREA
CBLOL Academy,1000.0,BRAZIL
North Regional League,1000.0,LATIN AMERICA NORTH
South Regional League,1000.0,LATIN AMERICA SOUTH
TFT Rising Legends,1000.0,INTERNATIONAL
